,Title,text,name,source,uncertain,skills
24,"Technical Trainer Manager, Google Cloud","Experience with Cloud Infrastructure, Data and/or Machine Learning, with an understanding of Cloud technologies.
Experience working in a global team.
Comfort with working in a fast-growing, dynamic and ambiguous environment.
Effective interpersonal skills, with the ability to work in a cross-functional organization.
Travel internationally as required.",Preferred Qualifications,google,,"Cloud Infrastructure|Data and/or Machine Learning|Cloud technologies|working in a global team|fast-growing, dynamic and ambiguous environment|interpersonal skills|cross-functional organization|Travel internationally"
125,Vendor Operations Program Manager,"MBA degree.
PMP or Six Sigma certification, or experience working on process/operational optimization.
Experience automating and/or improving tool functionality through collaboration with Engineering or Program Management teams.
Experience working with globally managed service providers.
Flexibility and ability to thrive in rapidly changing environment.",Preferred Qualifications,google,1,
188,"Global Supply Chain Manager, Packaging","Experience collaborating and working cross-functionally with Engineering and Product teams. Experience working and partnering with supplier management at a global scale.
Experience sourcing packaging materials, pulp packaging, rigid packaging, etc.
Experience working with international supply base partners.
Effective communication, sourcing, consulting and collaboration skills.
Ability to travel as required.",Preferred Qualifications,google,1,
106,"Global Supply Chain Manager, Audio, Consumer Hardware","5 years of relevant work experience in global supply chain management within consumer electronics, with a demonstrated knowledge of manufacturing and supply chain processes.
Experience with audio commodities.
Demonstrated experience in collaborating and working cross-functionally with Engineering and Product teams. Experience working and partnering with suppliers.
Demonstrated record in driving overall ramp readiness with Engineering, Operations and Supplier teams.
Excellent communication, sourcing, negotiation and collaboration skills.
Ability to travel up to 35% of the time as required.",Preferred Qualifications,google,1,
1,"Supplier Development Engineer (SDE), Cable/Connector","BSEE, BSME or BSIE degree.
Experience of using Statistics tools for Data analysis, e.g. distribution histogram/pareto chart, process control chart, Design of Experiment (DOE), Correlation Analysis, etc.
Demonstrated knowledge in PCBA manufacturing process and quality control.
Familar with cable/connector related components' manufacturing: moldling, stamping, die-casting, LIM, MIM process and materials.
Self starter with innovation, integrity and attention to detail.
Ability to travel up to 50% of the time",Preferred Qualifications,google,1,Statistics|Data analysis|PCBA manufacturing|quality control|cable/connector related components' manufacturing
296,Sustaining Manufacturing Process Engineer,"7 years of experience in Process/Manufacturing Engineering experience with experience autonomously managing manufacturing at an Asia based contract manufacturer.
Understanding of the importance of cosmetic requirements for consumer electronic user experience. Understanding of statistical processes and quality control principles.
Knowledge of value stream mapping and Kaizen activities.
Ability to drive innovation and continuous improvement in a fast-paced, dynamic environment.
Effective management of contract manufacturers and excellent organization skills.
Detail oriented individual, hands on, with focus on preventative and detective process controls for quality assurance.",Preferred Qualifications,google,,
16,"Machine Learning Product Specialist, Google Cloud (EMEA)","Master's degree in Computer Science or a related technical technical field.
Experience writing code for Machine Learning purposes. Experience with Big Data and Platform/Infrastructure-as-a-Service (PaaS/IaaS) technologies.
Ability to advise customers on how to collect data for a given problem, clean it, visualize it, extract features from it and choose the right type of learning algorithm.
Ability to explain and demystify relevant techniques to those who are new to Machine Learning, with the ability to advise customers on making tradeoffs.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the cloud technology space.",Preferred Qualifications,google,1,Computer Science|Machine Learning|Big Data|Platform/Infrastructure-as-a-Service|PaaS|IaaS|advise customers|work with new emerging technologies|cloud technology
2,"Data Analyst, Product and Tools Operations, Google Technical Services","Experience partnering or consulting cross-functionally with senior stakeholders.
Proficiency in a database query language (e.g. SQL).
Ability to manage multiple projects in an ambiguous environment.
Strong presentation and communication skills with the ability to communicate statistical concepts and explain recommendations to non-experts.",Preferred Qualifications,google,,
284,"Associate Account Strategist (Polish), Global Customer Experience","Experience in sales, customer service, account management, marketing or consulting, and working towards strategic goals.
Experience in managing and customizing experience to a specific customer base.
Experience in leading, motivating and working well within a team.
Demonstrated ability to multi-task and manage multiple projects while working in a fast-paced environment.
Excellent organizational skills, with the ability to work independently and proactively.",Preferred Qualifications,google,1,sales|customer service|account management|marketing|consulting|strategic goals|managing and customizing experience|leading|motivating|multi-task|organizational skills|work independently and proactively
26,"Technical Solutions Engineer, Chrome and Android, Google Cloud","Hands-on experience implementing, troubleshooting, and supporting Internet-based applications, web servers, mail servers (e.g. Exchange, Lotus, sendmail, or Postfix), and Linux/Unix operating systems. Experience with Identity Management or Directory Services (e.g. LDAP, AD, etc).
Experience with managing hosted services/SaaS. Familiarity with programming/scripting (i.e. one or more of Java, C, C++, .NET, Python, shell, Perl, JavaScript). Experience with various DBMS, data mining and analysis.
Demonstrated network administration and troubleshooting skills, with an understanding of Linux/Unix system administration. Understanding of Web and Mail-related standards, such as HTTP, HTML, XML, cookie-based SSO, and SMTP.
Demonstrated resourcefulness and attention to detail, with the ability to keep pace with rapid changes in enterprise products.
Effective communication skills, both written and verbal, along with outstanding troubleshooting, follow-through and problem-solving skills.",Preferred Qualifications,google,1,"implementing, troubleshooting, and supporting Internet-based applications|web servers|mail servers|Exchange|Lotus|sendmail|Postfix|Linux|Unix|Identity Management|Directory Services|LDAP|AD|managing hosted services|SaaS|programming|scripting|Java|C|C++|.NET|Python|shell|Perl|JavaScript|DBMS|data mining|analysis|network administration and troubleshooting|Linux/Unix system administration|HTTP|HTML|XML|cookie-based SSO|SMTP|resourcefulness|attention to detail|keep pace with rapid changes|communication|troubleshooting|problem-solving"
3,"Developer Advocate, Partner Engineering","Experience as a software developer, architect, technology advocate, CTO, or consultant working with web or mobile technologies.
Experience working with third parties.
Experience interacting with clients or internal stakeholders.
Knowledge of web application or mobile application development landscapes.",Preferred Qualifications,google,,
75,"Developer Advocate, Cloud Platform","Master's degree in Computer Science or related technical field, or equivalent practical experience.
Experience as a software developer, architect, technical advocate, consultant, community manager, product manager, CTO, and/or consultant working with various platforms.
Experience working directly with partners or third party developers and presenting at technology conferences.
Experience with cloud platforms.",Preferred Qualifications,google,,
145,"Developer Advocate, Web","BA/BS degree in Computer Science or similar field.
Experience blogging and writing technical articles with an existing follower base, with experience working directly with press and bloggers.
Experience creating scalable developer content and strong command of web application or mobile application development landscapes.
Background as a Software Developer, Architect, Technology evangelist or Consultant working with server-side technologies.",Preferred Qualifications,google,,
6,"Supplier Development Engineer, Camera, Consumer Hardware","Master's degree.
Experience in the development of camera module integration processes or other related industries.
Experience managing functional Engineering teams.
Experience in project management including data handling, documentation, critical decision making and organization skills.
Knowledge of Quality and Statistical tools and methods.
Self-starter with innovation, integrity and attention to details.",Preferred Qualifications,google,,development of camera module integration processes|managing functional Engineering teams|project management|data handling|documentation|decision making|organization|Quality and Statistical tools and methods|innovation|attention to details
271,"Hardware System Validation Engineer, Consumer Hardware","Master's degree in Electrical Engineering or Computer Engineering.
6 years of industry experience in electronic test and design validation.
Experience with high volume consumer product design and development, with focus on signal integrity, power integrity,.
Experience in one or more of the following areas: validation of computer I/Os (USB, HDMI, DisplayPort, etc.), RF validation (Wi-Fi, Bluetooth, Cellular), Display, Camera validation (optical and electrical), Audio validation (microphone and speaker quality), input device validation (capacitive touch, keyboard, mice, etc.).
Experience in software programming for lab test automation with Linux environment, Python, Perl, Tcl, MATLAB, LabVIEW, and/or C++.
Experience in simulation and lab correlation in both frequency domain and time domain with commercial tools, such as PowerSI, PowerDC, OptimizePI, SIwave, and/or HSPICE.",Preferred Qualifications,google,,"Electrical Engineering|Computer Engineering|electronic test and design validation|product design|validation of computer I/Os|RF validation|Display, Camera validation|Audio validation|input device validation|software programming|lab test automation|Linux|Python|Perl|Tcl|MATLAB|LabVIEW|C++|simulation|lab correlation|PowerSI|PowerDC|OptimizePI|SIwave|HSPICE"
251,"Supplier Development Engineer, Materials, Consumer Products","MS in Mechanical or Materials Engineering.
Experience in managing functional engineering teams.
Project management experience, including effective data-handling, documentation, critical decision-making and organizational skills.
Experience in launching new products with Contract Manufacturers and ODMs.
Knowledge of quality and statistical tools and methods.
Organized and methodical with excellent verbal and written communication skills.",Preferred Qualifications,google,,Mechanical Engineering|Materials Engineering|managing functional engineering teams|Project management|data-handling|documentation|decision-making|organizational skills|launching new products|quality and statistical tools and methods|communication
93,ASIC Physical Design Engineering Tech Lead & Manager,"Experience setting flows and methodologies for physical design and design sign off
Hands on experience and a solid understanding in all of the following physical design flows and methodologies: synthesis, place and route, STA, formal verification, CDC and power/EM/IR analysis, power intent (UPF/CPF), DFT.
Hands on experience and a solid understanding in most or all of the following tools: Design Compiler, ICC/ICC2, Innovus/EDI, Primetime, Conformal LEC and CLP, Spyglass and Power Artist, DRC tools such as Calibre, DFT Compiler/Tessent/Encounter Test, Electrical Analysis tools such as Redhawk/Voltus
Proficiency in semiconductor device physics and transistor characteristics.",Preferred Qualifications,google,,
378,"Partner Sales Manager, Go-to-Market Partnerships, Google Cloud","MBA degree.
Experience with hyperscale cloud computing.
Experience collaborating with Cloud Partners.
Experience in consultation delivery with enterprise software engagements.
Understanding of foundational cloud technologies (e.g., network, compute, database, middleware, visualization, etc.).
Excellent partner/channel pipeline development and management skills, with proven ability to deliver Go-to-Market strategies.",Preferred Qualifications,google,,hyperscale cloud computing|collaborating with Cloud Partners|consultation|enterprise software engagements|cloud technologies|pipeline development and management|Go-to-Market
365,"Strategic Partner Development Manager, Google Marketing Solutions, Channel Sales","MBA degree.
5 years of Sales/Business Development experience at an internet, MarTech/AdTech or SaaS company.
Experience in partnerships involving product integrations
Strong analytical and financial modeling skills. Demonstrated ability to think strategically about complex issues and develop thoughtful recommendations and action plans.
Proven track record of handling complex negotiations with multiple stakeholders.
Demonstrated ability to lead and manage multiple complex projects with a broad range of internal and external constituents simultaneously.",Preferred Qualifications,google,,
554,"Mobile Apps Technical Specialist, Online Partnership Group (English and Vietnamese or Hindi)","Experience working with customers including C-level audiences and senior stakeholders.
Strong skills in common web technologies, such as HTML and HTML5, CSS, JavaScript, PHP.
Knowledge of AdMob, Ad Exchange, DoubleClick for Publishers or similar solutions in the market.
Demonstrated technical aptitude and forensic skills to identify and effectively escalate product issues.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Excellent communication and presentation skills.",Preferred Qualifications,google,,working with customers|common web technologies|HTML|HTML5|CSS|JavaScript|PHP|AdMob|Ad Exchange|DoubleClick for Publishers|forensic|project management|interpersonal skills|organizational skills|drive and implement ideas in a changing environment|communication|presentation
430,"Global Partnerships Solutions Manager, Telecom","Passion for, and experience in, the Telco industry
Strong ability to grasp complex technical and product concepts and excellent interpersonal and communication skills to formulate and articulate business, financial and other points of value with partners as well as internal Google teams.
Persistent and highly collaborative, with a passion for and understanding of Google products
Strong analytical and problem solving skills",Preferred Qualifications,google,,
577,"Enterprise Customer Development Representative, Google Cloud (English, Korean)","Experience or internship in sales, customer support, account management, business analysis, marketing or consulting in the technology industry.
Technically minded, with a understanding of the technology and cloud computing market, and a passion for Google Cloud products (G Suite, Google Cloud Platform).
Ability to effectively operate with enthusiasm and flexibility in a fast-paced, constantly evolving team environment.
Ability to build influential relationships and deliver results in a cross-functional/matrixed environment.
Goal oriented, self-motivated individual who is confident, thorough, tenacious with strong analytical skills. Demonstrated organizational and project management capabilities.
Strong communication and presentation skills, both written and verbal.",Preferred Qualifications,google,,sales|customer support|account management|business analysis|marketing|consulting|cloud computing|Google Cloud|G Suite|Google Cloud Platform|analytical skills|project management|communication|presentation
460,"Sales Engineering Manager, Shared Services, Google Cloud","Master's degree in Computer Science and/or a MBA.
Experience in a People Management role - managing a team, attracting and growing talent.
Understanding of solution architecture within web and mobile environments and technical experience of web/internet related technologies, architecture across Software/Platform/Infrastructure-as-a-Service (SaaS, PaaS and IaaS) and competitive cloud productivity suites.
Ability to effectively present to both technical and non-technical audiences, engaging C-Level in business and technology transformation.
Demonstrated ability to inspire and grow teams to their full potential in a sales environment.
Goal oriented, self-motivated individual who is confident, thorough, and tenacious. Demonstrated organizational and project management capabilities.",Preferred Qualifications,google,,Computer Science|People Management|managing a team|web and mobile environments|web/internet related technologies|SaaS|PaaS|IaaS|cloud productivity suites|project management
569,"Vendor Strategy Manager, Google Technical Services","7 years of experience in the outsourcing industry. Experience in direct vendor management, setting and driving vendor strategy, process improvement, contracting and commercial negotiations.
Ability to problem solve, find solutions, make things happen and to manage projects across multiple stakeholders and geographies. Ability to collaborate and to develop partnerships effectively.
Demonstrated self starter, with a customer focus and the ability to thrive in an ambiguous environment.
Demonstrated understanding of customer support verticals.
Effective communication skills with the ability to manage and influence senior stakeholders.",Preferred Qualifications,google,,vendor management|vendor strategy|contracting|commercial negotiations|manage projects|collaborate|develop partnerships|customer support|communication
32,"Solutions Consultant, Ads, Google Professional Services","Experience managing technical system implementation projects in a consulting industry.
Familiarity with the ad serving industry, ad exchanges and networks. Knowledge of Google Platforms (DoubleClick Bid Manager, DoubleClick for Advertisers, DoubleClick Search V3, DoubleClick For Publishers and AdWords).
Demonstrated ability to be flexible/adaptable in exercising judgment in a dynamic environment and able to manage competing priorities.
Ability to absorb complex technical concepts and communicate them to a non-technical audience effectively.",Preferred Qualifications,google,,
46,"Graphics Software Engineer, Robotics Simulation, Google Cloud Platform","Experience writing highly optimized and efficient code.
Prior experience in robotics.
Experience shipping high-quality game titles.",Preferred Qualifications,google,,
100,ソフトウェア エンジニア、Chrome OS ビデオ,"コンピュータ サイエンスまたは関連する技術分野での修士号または博士号
ドメインに関する知識。または動画、コーデック、グラフィック、カメラ、マルチメディアのうち 1 つ以上の分野における低レベル開発の経験
オープンソース開発の経験",Preferred Qualifications,google,,
187,"Software Engineer, Tools and Infrastructure","Master's or PhD in Computer Science or related technical field.
Experience with one or more general purpose programming languages including but not limited to: C/C++, C#, Python, JavaScript, Go, Objective-C, Swift.
Deep knowledge of internet technologies.
Good scripting skills in one common language (Perl, Python, Shell).
Extensive knowledge of UNIX/Linux environments.",Preferred Qualifications,google,,Computer Science|programming languages|C|C++|C#|Python|JavaScript|Go|Objective-C|Swift|internet technologies|scripting|Perl|Python|Shell|Unix|Linux
108,"Software Engineer, Virtual Prototyping","Experience in SystemC or RTL
Experience in instruction set simulator, dynamic binary translation, or virtualization
Experience in software-based virtual platforms or FPGA/ASIC based emulation platforms
Experience in low-level system software development like firmware, kernel, and driver
Familiarity with ARM and x86 assembly",Preferred Qualifications,google,,SystemC|RTL|instruction set simulator|dynamic binary translation|virtualization|software-based virtual platforms|FPGA|ASIC|emulation platforms|low-level system software development|ARM|x86 assembly
27,"Program Manager, Supply Chain Data Management","Ability to work independently with minimal guidance and manage a range of projects.
Excellent organizational, communication and project management skills.",Preferred Qualifications,google,,work independently|organizational skills|communication|project management skills
161,"Technical Program Manager, Data Center Design","MS or PhD in Electrical Engineering, Mechanical Engineering, Industrial Engineering, Architecture, Construction Management, or a related technical field.
3 years of relevant work experience with data center specific or equivalent equipment/environments, including switch gear, generators, chillers, cooling towers, air handling units, building controls, security monitoring systems, and fire safety systems.
Experience in managing vendor relationships, with a demonstrated understanding of standard practices in the design and construction industry, including a detailed knowledge of design processes, procurement, and work package planning.
Demonstrated understanding of start up/commissioning processes.
Demonstrated skills in requirement gathering, optioneering, resource organization, task prioritization, planning and scheduling, with the ability to achieve objectives on schedule, to the required quality, and within budget.",Preferred Qualifications,google,,
906,"Business Analyst, Google Play Partner Promotions Strategy","MBA or advanced graduate degree in a management, technical or engineering field
Experience in leading complex operational and strategic initiatives, and interacting with Business Leads or Product Managers.
Experience in practical business modeling or financial modeling
Distinctive problem solving and analytical skills, combined with impeccable business judgment.
Ability to present to executives and communicate with highly technical management team.
Excellent business acumen, written, and oral communication and interpersonal skills.",Preferred Qualifications,google,,
877,"Product Analyst, Data Science","BA/BS or Master's degree with emphasis on coursework of a quantitative nature (e.g., Statistics, Computer Science, Engineering, Mathematics, Data Sciences)
Experience in scripting with SQL, extracting large sets of data, and design of ETL flows
Work experience in an inter-disciplinary/cross-functional field.
Deep interest and aptitude in data, metrics, analysis and trends and applied knowledge of measurement, statistics and program evaluation.
Distinctive problem solving skills and impeccable business judgment.
Capable of translating analysis results into business recommendations. Strong written and verbal communication skills.",Preferred Qualifications,google,,Statistics|Computer Science|Engineering|Mathematics|Data Sciences|scripting|SQL|design of ETL flows|analysis|program evaluation|problem solving|business judgment|business recommendations|communication
913,"Strategy Associate, Search and Assistant Distribution, Global Partnerships","MBA, Master's degree or PhD.
Experience at a Management Consulting firm and/or in a Corporate Strategy role for a technology company.
Ability to collaborate with stakeholders and to influence change across all levels within an organization.
Ability to understand complex technical and product concepts, with excellent interpersonal and communication skills to formulate and articulate business, financial and other points of value with partners.
Entrepreneurial, comfortable with ambiguity, self-motivated, creative, intellectually curious, and highly collaborative, with a passion for and understanding of Google products.",Preferred Qualifications,google,,
928,"Associate, Business Operations and Strategy","4 years of relevant work experience.
Experience at a management consulting firm, corporate strategy organization or technology-focused banking organization.
Early stage company experience.
Excellent problem-solving and analytical skills, with impeccable business judgment.
Effective modeling and presentation skills.
Excellent communication and interpersonal skills, with the ability to be personable yet persistent.",Preferred Qualifications,google,,management consulting|corporate strategy|technology-focused banking|problem-solving|analytical skills|business judgment|modeling|presentation|communication|interpersonal skills
47,"Technical Writer, University Graduate","Graduating from BA/BS degree or MA/MS degree in 2018.
Familiarity with source code management, build systems and related processes, and the ability to quickly learn and use technology.
Proficiency with HTML, CSS and a UNIX environment.
Ability to manage multiple competing priorities in a fast-paced, constantly changing environment.",Preferred Qualifications,google,,source code management|build systems|HTML|CSS|UNIX|manage multiple competing priorities
195,Cloud DevOps and Infrastructure Engineer for Silicon Design,"Master's or PhD in Computer Science or related technical field.
Experience with cloud abstraction tools such as Terraform or Spinnaker
Extensive knowledge of Unix/Linux environments.
Knowledge of HPC grids
Knowledge of Scalable Storage (Gluster, Ceph)",Preferred Qualifications,google,,Computer Science|cloud abstraction tools|Terraform|Spinnaker|Unix|Linux|HPC grids|Gluster|Ceph
185,"Strategic Negotiator, Data Center","Experience with one or more of the following: large collocation, site selection for high-technology, industrial-scale projects, real estate evaluation, acquisition, development, and construction, utility contracts energy-related issues and/or clean energy initiatives.
Familiarity with power transmission and distribution, telecommunications infrastructure, data center technology, industrial class electrical and cooling technology, and/or other related areas of technical expertise.
Demonstrated ability to think 'outside the box' and develop commercially and technically creative solutions.
Ability to work independently and dynamically, while still leading cross-functional strategic efforts.",Preferred Qualifications,google,,
49,"Technical Program Manager, Cloud Infrastructure Planning and Resource Management","MBA or MS in Engineering.
5 years of experience managing complex cross-functional programs.
Experience working with supply chain management systems or processes.
Experience working with software engineering teams, business owners, and product managers.
Ability to understand and communicate complex technical concepts to a variety of audiences easily.
Excellent communication and negotiation skills, demonstrated ability to work cross-functionally with multiple teams and stakeholders.",Preferred Qualifications,google,,
191,"Technical Program Manager, Site Reliability Engineering","4 years of experience in a software development, data center, operations and/or computing infrastructure-related role.
Experience in multi-tiered distributed application environments.
Excellent performance in prior roles, with increasing levels of responsibility and independence.
Effective customer service focus, with the ability to communicate with technical management teams.
Effective project management, analytical, problem-solving, organizational and communication skills.",Preferred Qualifications,google,,
134,"Linguist, Natural Language Understanding, Machine Intelligence","Multilingual speaker with 2 years of experience in NLP research or related fields.
Proficiency in Python, C++ or other programming languages
Familiarity with experimental design, research methodologies, qualitative and quantitative analysis
Independent worker with the ability to effectively operate with flexibility in a fast paced, constantly evolving team environment. Team player with exceptional interpersonal and solution-oriented attitude.
Creative thinker with strong problem solving and analytical skills and excellent written and verbal communication skills.",Preferred Qualifications,google,,NLP|Python|C++|programming languages|experimental design|research methodologies|qualitative and quantitative analysis|problem solving|analytical skills|communication
151,"Corporate Operations Engineer, IT Support, EPM","Experience with software development processes and implementation of large-scale projects in global companies (in both waterfall and agile).
Demonstrated analytical skills and cross-functional experience.
Exposure to a variety of financial business processes, SOX L1 application support and management, and IT processes such as DR, security controls, and infrastructure models.
Systematic problem solving approach, coupled with a strong sense of ownership and drive with the ability to adjust quickly to changing priorities and make progress in areas where a high ambiguity and uncertainty exist.
Strong customer service, organizational, prioritization, multitasking, communication and leadership skills.",Preferred Qualifications,google,,
164,"Corporate Operations Engineer, Finance IT Support","Experience with software development processes and implementation of large-scale projects in global companies in both waterfall and agile.
Familiarity with finance and accounting processes, demonstrated analytical skills and cross-functional experience.
Understanding of a variety of financial business processes, SOX L1 application support and management, and IT processes such as DR, security controls, and infrastructure models.
Systematic problem solving approach, coupled with a strong sense of ownership and drive with the ability to adjust quickly to changing priorities and make progress in areas where a high ambiguity and uncertainty exist
Strong customer service, organizational, prioritization, multitasking, communication and leadership skills",Preferred Qualifications,google,,
654,"Product Marketing Manager, Direct SMB Acquisitions","MBA.
Experience in either B2B (SME) marketing, B2C marketing or channel management programs. Experience working either in or with digital advertising sales teams.
Experience reviewing offline or online creative to optimize conversions and meet brand guidelines.
Change management experience and strong skills influencing stakeholders. Experience managing partners or third parties in commercial and operational activities.
Ability to get things done with an entrepreneurial mindset for overcoming obstacles.
Demonstrated ability to think strategically about complex issues, leading to thoughtful recommendations, action plans, and campaigns that drive high ROI.",Preferred Qualifications,google,,
774,Associate Product Marketing Manager,"Ability to effectively operate in a fast-paced environment and to work on multiple projects simultaneously in a dynamic and constantly evolving context.
Demonstrated ability to develop strategy and business plans and effectively influence external partners.
Effective leadership, and written and oral communication skills.
Excellent problem solving skills with a high degree of analytical rigor.",Preferred Qualifications,google,,operate in a fast-paced environment|work on multiple projects simultaneously|develop strategy|business plans|leadership|communication|problem solving
225,Executive Briefing Manager,"Experience delivering sales, product marketing and technical customer engagement initiatives at scale.
Experience delivering content and programming for customers at executive briefing centers or similar.
Presentation delivery and meeting facilitation experience.
Experience leading customer engagement programs with C-suite customers.
Understanding of the cloud industry and enterprise customer scale requirements, and strong understanding of Google’s Cloud products and solutions.
Excellent written/verbal communication skills and ability to influence others.",Preferred Qualifications,google,,
604,"Product Specialist, New Hardware Devices and Platforms, Google Play","Global experience in launching and maintaining new products and platforms.
Demonstrated experience working with Product Management and Engineering teams and experience working within cross-functional PM/Engineering teams to scope requirements, build and rollout new product features and capability for a user-facing commercial organization.
Strong user focus and experience in delivering high-quality user experiences.
Knowledge of and experience with eCommerce and global/regional best practices.
Ability to advise on strategies and product requirements to enhance platform-level merchandising capabilities.
Strong analytical skills; ability to analyze research or performance data, develop insights and apply insights to optimize Merchandising strategy.",Preferred Qualifications,google,,
243,"Network Operations Engineer, Corporate","Experience in working with/for network platform providers.
Experience with Software Defined Network (SDN) technologies.
Experience in Python and/or Go.
Good LAN and WAN troubleshooting skills, with a solid understanding of network security.",Preferred Qualifications,google,,
162,"Network Implementation Engineer, Corporate Network","Master's or PhD in Computer Science or related technical field or equivalent practical experience
Substantial operational experience with enterprise-class routers and switches; Juniper and Cisco
Experience with wireless local area networks (WLANs)
Proven, demonstrable skills in network design, implementation and integration in operationally sensitive production environments",Preferred Qualifications,google,,
285,"Technical Solutions Consultant, Android Automotive, Android Partner Engineering","Experience with Android application development.
Experience managing multiple customers and streams of work.
Experience working with low level or embedded systems. Familiarity with Linux kernel, device driver APIs, and chipsets.
Demonstrated creative problem-solving approach with excellent analytical skills.
Excellent communication and project management skills.
Knowledge of Internet technologies such as TCP/IP, HTTP, RESTful APIs.",Preferred Qualifications,google,,Android application development|embedded systems|Linux kernel|device driver APIs|chipsets|problem-solving|analytical skills|communication|project management|Internet technologies
224,"Network Engineer, Corporate Network","Master's or PhD in Computer Science or related technical field or equivalent practical experience
Substantial operational experience with enterprise-class routers and switches; Juniper and Cisco
Strong customer-interaction skills and architectural skills. As well as Network automation experience.
Familiarity with SDN, NFV and Linux networking and experience with wireless local area networks (WLANs).
Proven, demonstrable skills in network design, implementation and integration in operationally sensitive production environments.
Proven good business judgment and a comfortable communication style.",Preferred Qualifications,google,,
353,Online Sales Account Manager (Dutch),"BA/BS degree in Business or Marketing.
Significant and relevant experience in consultative sales and account management (media agency sales).
Interest in developing customer partnerships.
Detail oriented with the ability to prioritize.
Self-starter, self-motivated, and capable of seeking additional opportunities.",Preferred Qualifications,google,,
459,"Inside Sales Executive, Google Cloud","Experience in Salesforce and CRM system integrations.
Understanding of how various cloud technologies work together to drive technology adoption within existing large account base.
Demonstrated ability to speak credibly about Platform/Infrastructure-as-a-Service (PaaS/IaaS).
Ability to plan, present, and execute a territory sales strategy.
Effective written and verbal communication/presentation skills, with strategic and analytical thinking skills.",Preferred Qualifications,google,,
437,"Strategic Agency Consultant (Switzerland, Austria), Google Marketing Solutions","Experience in advertising sales, digital marketing, consulting, brand marketing, or in a fast-paced media agency environment.
Experience with improving business relationships and successfully developing new business opportunities.
Demonstrated ability to think strategically about complex issues and develop recommendations and action plans.
Demonstrated ability to lead and manage multiple projects with a broad range of internal and external constituents simultaneously
Established relationships and presence with performance agencies or traditional media agencies.",Preferred Qualifications,google,,"advertising|sales|digital marketing|consulting|brand|business relationship|business opportunities|think strategically|develop recommendations and action plans|lead and manage multiple projects
"
341,"Account Manager, Display, Media Buying Solutions (Spanish)","Experience in the ad tech market in a sales role or as a user.
Experience in the use of programmatic ad buying tools.
Experience in working with a strategic and analytical sales approach, with a track record of building lasting customer relationships.
Well-organized, analytical and capable of handling multiple ad hoc requests simultaneously.
Excellent organizational, analytical, influencing and presentation skills.",Preferred Qualifications,google,,
540,"Field Sales Representative, Google Cloud (English, Dutch, French)","Experience in sales and relationship management with a technology platform or Infrastructure-as-a-Service (IaaS).
Experience building and cultivating lasting relationships with accounts.
Understanding of Big Data landscape and Business Intelligence technologies, with knowledge of how various cloud technologies (PaaS and IaaS) work together to drive technology adoption within the existing large account base.
Demonstrated ability to work towards strategic goals in a fast-paced environment.
Ability to engage with developer audiences as well as C-level IT and business leaders.",Preferred Qualifications,google,,
399,"Manager of Store Operations, Hardware Partnerships (English and German)","Experience working with Salesforce, Retail systems or big data.
Background in Business Intelligence.
Background in Retail Operations (FMCG, CE, Carrier).
Strong analytical skills (AB analysis, ROI, job costing, etc).",Preferred Qualifications,google,,
345,Brand Solution Strategist,"Strong knowledge of traditional as well as contemporary/online marketing tactics and strategy.
Proven and deep brand building expertise and capabilities.
Analytical acumen and strategic thought leadership, paired with agile mind set and can-do attitude
Excellent communication, influencing and strong relationship-building skills",Preferred Qualifications,google,,
373,"Research Analyst, Market Insights","Master’s degree or PhD in Statistics, Applied Mathematics, Operation Research, Computer Science or related field.
Project management experience.
Experience in consumer insights or advertising effectiveness research and expertise with a wide variety of methodologies.
Experience in communicating the outcomes of complex analyses to non-technical audiences.
Interest in online advertising, digital media consumption patterns and branding measurement.
Distinctive problem-solving and analytical skills with a high degree of analytical rigor. Strategic mindset with strong project management skills.",Preferred Qualifications,google,,Statistics|Applied Mathematics|Operation Research|Computer Science|Project management|consumer insights|advertising effectiveness research|online advertising|digital media consumption patterns|branding measurement|problem-solving|analytical skills|project management
1013,"Payroll Business Systems Analyst, HR Interfaces","Project management experience and meticulous attention to detail.
Strong familiarity with payroll processes and administration/support of cloud-based HCM systems.
Ability to work collaboratively, be diplomatic and influence stakeholders, vendors and international teams.
Proven track record of having analytical and problem solving skills.
Comfort with and passion for business applications, tools and automation.
Excellent written and verbal communication skills.",Preferred Qualifications,google,,
999,"APAC Manager, Employment Tax","Experience in application of employment tax law or mobility tax support in APAC region
Good judgment in selecting methods and techniques for achieving results
Detail oriented, analytical skills, ambitious, self-motivated with a strong interest in international payroll and employment taxes.
Able to work effectively individually and independently, as well as in teams
Adaptable with demonstrated flexibility to changing task priorities and work situations.
Excellent research skills, verbal and written communication skills; customer service oriented.",Preferred Qualifications,google,,
981,"Financial Analyst, Central Finance Planning and Analysis","Experience in identifying opportunities for business improvement, defining and measuring the success of initiatives.
Experience managing and influencing complex cross-functional initiatives and projects.
Proficiency with analytical tools and financial systems such as Oracle, Hyperion and SQL.
Organized, strategically focused, self-starter, with the ability to deal with ambiguity in a fast-paced environment.",Preferred Qualifications,google,,
