label|dictionary|term
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise loading of cargo===skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage vessel fleet===skills;management skills;leading and motivating;leading and motivating;lead others===skills;communication, collaboration and creativity;solving problems;implementing new procedures or processes;implement cost-effective cargo handling strategies on ships|esco_dictionary|oversee loading and unloading of ship cargo
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise loading of cargo===skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage vessel fleet===skills;management skills;leading and motivating;leading and motivating;lead others===skills;communication, collaboration and creativity;solving problems;implementing new procedures or processes;implement cost-effective cargo handling strategies on ships|esco_dictionary|manage the loading and unloading of vessels
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise loading of cargo===skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage vessel fleet===skills;management skills;leading and motivating;leading and motivating;lead others===skills;communication, collaboration and creativity;solving problems;implementing new procedures or processes;implement cost-effective cargo handling strategies on ships|esco_dictionary|oversee ship cargo activities
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise loading of cargo===skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage vessel fleet===skills;management skills;leading and motivating;leading and motivating;lead others===skills;communication, collaboration and creativity;solving problems;implementing new procedures or processes;implement cost-effective cargo handling strategies on ships|esco_dictionary|supervise vessel cargo loading and unloading
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise loading of cargo===skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage vessel fleet===skills;management skills;leading and motivating;leading and motivating;lead others===skills;communication, collaboration and creativity;solving problems;implementing new procedures or processes;implement cost-effective cargo handling strategies on ships|esco_dictionary|manage the loading and unloading of ships
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise loading of cargo===skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage vessel fleet===skills;management skills;leading and motivating;leading and motivating;lead others===skills;communication, collaboration and creativity;solving problems;implementing new procedures or processes;implement cost-effective cargo handling strategies on ships|esco_dictionary|manage the loading and unloading of cargo from vessels
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise loading of cargo===skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage vessel fleet===skills;management skills;leading and motivating;leading and motivating;lead others===skills;communication, collaboration and creativity;solving problems;implementing new procedures or processes;implement cost-effective cargo handling strategies on ships|esco_dictionary|supervise ship cargo loading and unloading
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise loading of cargo===skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage vessel fleet===skills;management skills;leading and motivating;leading and motivating;lead others===skills;communication, collaboration and creativity;solving problems;implementing new procedures or processes;implement cost-effective cargo handling strategies on ships|esco_dictionary|supervise ship cargo activities
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise advocacy work===skills;management skills;developing objectives and strategies;developing operational policies and procedures;design campaign actions===skills;management skills;developing objectives and strategies;developing financial, business or marketing plans;develop campaigns===skills;communication, collaboration and creativity;liaising and networking;advocating for individual or community needs;create advocacy material|esco_dictionary|create advocacy campaigns
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise advocacy work===skills;management skills;developing objectives and strategies;developing operational policies and procedures;design campaign actions===skills;management skills;developing objectives and strategies;developing financial, business or marketing plans;develop campaigns===skills;communication, collaboration and creativity;liaising and networking;advocating for individual or community needs;create advocacy material|esco_dictionary|develop advocacy crusades
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise advocacy work===skills;management skills;developing objectives and strategies;developing operational policies and procedures;design campaign actions===skills;management skills;developing objectives and strategies;developing financial, business or marketing plans;develop campaigns===skills;communication, collaboration and creativity;liaising and networking;advocating for individual or community needs;create advocacy material|esco_dictionary|establish advocacy crusades
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise advocacy work===skills;management skills;developing objectives and strategies;developing operational policies and procedures;design campaign actions===skills;management skills;developing objectives and strategies;developing financial, business or marketing plans;develop campaigns===skills;communication, collaboration and creativity;liaising and networking;advocating for individual or community needs;create advocacy material|esco_dictionary|organise advocacy campaigns
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise advocacy work===skills;management skills;developing objectives and strategies;developing operational policies and procedures;design campaign actions===skills;management skills;developing objectives and strategies;developing financial, business or marketing plans;develop campaigns===skills;communication, collaboration and creativity;liaising and networking;advocating for individual or community needs;create advocacy material|esco_dictionary|establish advocacy campaigns
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise advocacy work===skills;management skills;developing objectives and strategies;developing operational policies and procedures;design campaign actions===skills;management skills;developing objectives and strategies;developing financial, business or marketing plans;develop campaigns===skills;communication, collaboration and creativity;liaising and networking;advocating for individual or community needs;create advocacy material|esco_dictionary|organise advocacy movements
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise advocacy work===skills;management skills;developing objectives and strategies;developing operational policies and procedures;design campaign actions===skills;management skills;developing objectives and strategies;developing financial, business or marketing plans;develop campaigns===skills;communication, collaboration and creativity;liaising and networking;advocating for individual or community needs;create advocacy material|esco_dictionary|design advocacy campaigns
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise advocacy work===skills;management skills;developing objectives and strategies;developing operational policies and procedures;design campaign actions===skills;management skills;developing objectives and strategies;developing financial, business or marketing plans;develop campaigns===skills;communication, collaboration and creativity;liaising and networking;advocating for individual or community needs;create advocacy material|esco_dictionary|develop advocacy campaigns
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise advocacy work===skills;management skills;developing objectives and strategies;developing operational policies and procedures;design campaign actions===skills;management skills;developing objectives and strategies;developing financial, business or marketing plans;develop campaigns===skills;communication, collaboration and creativity;liaising and networking;advocating for individual or community needs;create advocacy material|esco_dictionary|create advocacy movements
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage casino===skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage casino facilities|esco_dictionary|inspect casino floor
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage casino===skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage casino facilities|esco_dictionary|inspect casino floors
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage casino===skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage casino facilities|esco_dictionary|monitor casino gaming
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage casino===skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage casino facilities|esco_dictionary|monitor casino game floor
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;ensure equipment maintenance===skills;working with machinery and specialised equipment;installing, maintaining and repairing mechanical equipment;maintaining mechanical equipment;perform machine maintenance|esco_dictionary|carry out maintenance on installed equipment
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;ensure equipment maintenance===skills;working with machinery and specialised equipment;installing, maintaining and repairing mechanical equipment;maintaining mechanical equipment;perform machine maintenance|esco_dictionary|ensure functionality of installed on-site equipment
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;ensure equipment maintenance===skills;working with machinery and specialised equipment;installing, maintaining and repairing mechanical equipment;maintaining mechanical equipment;perform machine maintenance|esco_dictionary|conduct maintenance activities on installed equipment
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;ensure equipment maintenance===skills;working with machinery and specialised equipment;installing, maintaining and repairing mechanical equipment;maintaining mechanical equipment;perform machine maintenance|esco_dictionary|perform maintenance on on-site equipment
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;ensure equipment maintenance===skills;working with machinery and specialised equipment;installing, maintaining and repairing mechanical equipment;maintaining mechanical equipment;perform machine maintenance|esco_dictionary|undertake maintenance activities on installed equipment
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;ensure equipment maintenance===skills;working with machinery and specialised equipment;installing, maintaining and repairing mechanical equipment;maintaining mechanical equipment;perform machine maintenance|esco_dictionary|ensure functionality of installed equipment
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;ensure equipment maintenance===skills;working with machinery and specialised equipment;installing, maintaining and repairing mechanical equipment;maintaining mechanical equipment;perform machine maintenance|esco_dictionary|execute maintenance on installed equipment
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;ensure equipment maintenance===skills;working with machinery and specialised equipment;installing, maintaining and repairing mechanical equipment;maintaining mechanical equipment;perform machine maintenance|esco_dictionary|conduct maintenance activities on installed on-site equipment
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;ensure equipment maintenance===skills;working with machinery and specialised equipment;installing, maintaining and repairing mechanical equipment;maintaining mechanical equipment;perform machine maintenance|esco_dictionary|perform maintenance on installed on-site equipment
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;ensure equipment maintenance===skills;working with machinery and specialised equipment;installing, maintaining and repairing mechanical equipment;maintaining mechanical equipment;perform machine maintenance|esco_dictionary|carry out maintenance on installed on-site equipment
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;ensure equipment maintenance===skills;working with machinery and specialised equipment;installing, maintaining and repairing mechanical equipment;maintaining mechanical equipment;perform machine maintenance|esco_dictionary|undertake installed equipment maintenance activities
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;ensure equipment maintenance===skills;working with machinery and specialised equipment;installing, maintaining and repairing mechanical equipment;maintaining mechanical equipment;perform machine maintenance|esco_dictionary|perform maintenance on installed equipment
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;ensure equipment maintenance===skills;working with machinery and specialised equipment;installing, maintaining and repairing mechanical equipment;maintaining mechanical equipment;perform machine maintenance|esco_dictionary|execute maintenance on installed on-site equipment
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;ensure equipment maintenance===skills;assisting and caring;protecting and enforcing;complying with health and safety procedures;follow hygienic work practices|esco_dictionary|ensure regular maintenance of equipment in kitchen
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;ensure equipment maintenance===skills;assisting and caring;protecting and enforcing;complying with health and safety procedures;follow hygienic work practices|esco_dictionary|ensure kitchen equipment is maintained regularly
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;ensure equipment maintenance===skills;assisting and caring;protecting and enforcing;complying with health and safety procedures;follow hygienic work practices|esco_dictionary|check that equipment is cleaned periodically
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;ensure equipment maintenance===skills;assisting and caring;protecting and enforcing;complying with health and safety procedures;follow hygienic work practices|esco_dictionary|ensure regular maintenance of kitchen equipment
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;ensure equipment maintenance===skills;assisting and caring;protecting and enforcing;complying with health and safety procedures;follow hygienic work practices|esco_dictionary|ensure regular maintenance and cleaning of  equipment
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage gambling operation===skills;management skills;developing objectives and strategies;developing objectives and strategies;develop strategy to solve problems===skills;communication, collaboration and creativity;solving problems;developing solutions;create solutions to problems|esco_dictionary|solving problems in gambling through digital means
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage gambling operation===skills;management skills;developing objectives and strategies;developing objectives and strategies;develop strategy to solve problems===skills;communication, collaboration and creativity;solving problems;developing solutions;create solutions to problems|esco_dictionary|work out gambling problems through digital means
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage gambling operation===skills;management skills;developing objectives and strategies;developing objectives and strategies;develop strategy to solve problems===skills;communication, collaboration and creativity;solving problems;developing solutions;create solutions to problems|esco_dictionary|solve gambling problems through digital means
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage gambling operation===skills;management skills;developing objectives and strategies;developing objectives and strategies;develop strategy to solve problems===skills;communication, collaboration and creativity;solving problems;developing solutions;create solutions to problems|esco_dictionary|find a solution to problems in gambling through information technology
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage gambling operation===skills;management skills;developing objectives and strategies;developing objectives and strategies;develop strategy to solve problems===skills;communication, collaboration and creativity;solving problems;developing solutions;create solutions to problems|esco_dictionary|solve problems in gambling through digital means
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise work===skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise the work of staff on different shifts===skills;management skills;leading and motivating;leading and motivating;lead others===skills;management skills;supervising people;supervising a team or group;supervise staff|esco_dictionary|oversee the work of cleaning staff
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise work===skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise the work of staff on different shifts===skills;management skills;leading and motivating;leading and motivating;lead others===skills;management skills;supervising people;supervising a team or group;supervise staff|esco_dictionary|supervising the work of cleaning staff
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise work===skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise the work of staff on different shifts===skills;management skills;leading and motivating;leading and motivating;lead others===skills;management skills;supervising people;supervising a team or group;supervise staff|esco_dictionary|direct the work of cleaning staff
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise work===skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise the work of staff on different shifts===skills;management skills;leading and motivating;leading and motivating;lead others===skills;management skills;supervising people;supervising a team or group;supervise staff|esco_dictionary|supervise the work of cleaning staff
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise work===skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise the work of staff on different shifts===skills;management skills;leading and motivating;leading and motivating;lead others===skills;management skills;supervising people;supervising a team or group;supervise staff|esco_dictionary|supervise cleaning staff work
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise work===skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise the work of staff on different shifts===skills;management skills;leading and motivating;leading and motivating;lead others===skills;management skills;supervising people;supervising a team or group;supervise staff|esco_dictionary|manage the work of cleaning staff
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise sound production===attitudes and values;attitudes;manage quality;manage quality;manage quality|esco_dictionary|assess sound qualities
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise sound production===attitudes and values;attitudes;manage quality;manage quality;manage quality|esco_dictionary|evaluate sound quality
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise sound production===attitudes and values;attitudes;manage quality;manage quality;manage quality|esco_dictionary|gauge sound quality
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise sound production===attitudes and values;attitudes;manage quality;manage quality;manage quality|esco_dictionary|measure sound quality
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise sound production===attitudes and values;attitudes;manage quality;manage quality;manage quality|esco_dictionary|assess sound quality
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise sound production===attitudes and values;attitudes;manage quality;manage quality;manage quality|esco_dictionary|test sound quality
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;supervise sound production===attitudes and values;attitudes;manage quality;manage quality;manage quality|esco_dictionary|assessing sound quality
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage port operations===skills;communication, collaboration and creativity;liaising and networking;coordinating activities with others;maintain operational communications===skills;communication, collaboration and creativity;liaising and networking;coordinating activities with others;coordinate remote communications|esco_dictionary|use port communications systems
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage port operations===skills;communication, collaboration and creativity;liaising and networking;coordinating activities with others;maintain operational communications===skills;communication, collaboration and creativity;liaising and networking;coordinating activities with others;coordinate remote communications|esco_dictionary|operate dock communication systems
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage port operations===skills;communication, collaboration and creativity;liaising and networking;coordinating activities with others;maintain operational communications===skills;communication, collaboration and creativity;liaising and networking;coordinating activities with others;coordinate remote communications|esco_dictionary|operate communications systems in ports
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage port operations===skills;communication, collaboration and creativity;liaising and networking;coordinating activities with others;maintain operational communications===skills;communication, collaboration and creativity;liaising and networking;coordinating activities with others;coordinate remote communications|esco_dictionary|conduct communications activities using port systems
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage port operations===skills;communication, collaboration and creativity;liaising and networking;coordinating activities with others;maintain operational communications===skills;communication, collaboration and creativity;liaising and networking;coordinating activities with others;coordinate remote communications|esco_dictionary|perform communications using port systems
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage port operations===skills;communication, collaboration and creativity;liaising and networking;coordinating activities with others;maintain operational communications===skills;communication, collaboration and creativity;liaising and networking;coordinating activities with others;coordinate remote communications|esco_dictionary|utilise port communication systems
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage port operations===skills;communication, collaboration and creativity;liaising and networking;coordinating activities with others;maintain operational communications===skills;communication, collaboration and creativity;liaising and networking;coordinating activities with others;coordinate remote communications|esco_dictionary|operate port communications systems
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage port operations===skills;communication, collaboration and creativity;liaising and networking;coordinating activities with others;maintain operational communications===skills;communication, collaboration and creativity;liaising and networking;coordinating activities with others;coordinate remote communications|esco_dictionary|communicate using port communication systems
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage port operations===skills;communication, collaboration and creativity;liaising and networking;coordinating activities with others;maintain operational communications===skills;communication, collaboration and creativity;liaising and networking;coordinating activities with others;coordinate remote communications|esco_dictionary|conduct communications processes using port systems
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;manage port operations===skills;communication, collaboration and creativity;liaising and networking;coordinating activities with others;maintain operational communications===skills;communication, collaboration and creativity;liaising and networking;coordinating activities with others;coordinate remote communications|esco_dictionary|operate harbour communications systems
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;oversee construction project===skills;information skills;monitoring, inspecting and testing;monitoring, inspecting and testing equipment, systems and products;monitor construction site===skills;management skills;organising, planning and scheduling work and activities;planning and scheduling events and activities;manage time===attitudes and values;attitudes;meet commitments;meet deadlines and follow schedules;meet deadlines===attitudes and values;attitudes;meet commitments;meet deadlines and follow schedules;comply with schedule===skills;information skills;documenting and recording information;documenting technical designs, procedures, problems or activities;review construction projects|esco_dictionary|ensure compliance with construction project deadlines
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;oversee construction project===skills;information skills;monitoring, inspecting and testing;monitoring, inspecting and testing equipment, systems and products;monitor construction site===skills;management skills;organising, planning and scheduling work and activities;planning and scheduling events and activities;manage time===attitudes and values;attitudes;meet commitments;meet deadlines and follow schedules;meet deadlines===attitudes and values;attitudes;meet commitments;meet deadlines and follow schedules;comply with schedule===skills;information skills;documenting and recording information;documenting technical designs, procedures, problems or activities;review construction projects|esco_dictionary|ensure construction project deadline compliance
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;oversee construction project===skills;information skills;monitoring, inspecting and testing;monitoring, inspecting and testing equipment, systems and products;monitor construction site===skills;management skills;organising, planning and scheduling work and activities;planning and scheduling events and activities;manage time===attitudes and values;attitudes;meet commitments;meet deadlines and follow schedules;meet deadlines===attitudes and values;attitudes;meet commitments;meet deadlines and follow schedules;comply with schedule===skills;information skills;documenting and recording information;documenting technical designs, procedures, problems or activities;review construction projects|esco_dictionary|ensuring compliance with construction project deadline
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;oversee construction project===skills;information skills;monitoring, inspecting and testing;monitoring, inspecting and testing equipment, systems and products;monitor construction site===skills;management skills;organising, planning and scheduling work and activities;planning and scheduling events and activities;manage time===attitudes and values;attitudes;meet commitments;meet deadlines and follow schedules;meet deadlines===attitudes and values;attitudes;meet commitments;meet deadlines and follow schedules;comply with schedule===skills;information skills;documenting and recording information;documenting technical designs, procedures, problems or activities;review construction projects|esco_dictionary|management of construction projects
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;oversee construction project===skills;information skills;monitoring, inspecting and testing;monitoring, inspecting and testing equipment, systems and products;monitor construction site===skills;management skills;organising, planning and scheduling work and activities;planning and scheduling events and activities;manage time===attitudes and values;attitudes;meet commitments;meet deadlines and follow schedules;meet deadlines===attitudes and values;attitudes;meet commitments;meet deadlines and follow schedules;comply with schedule===skills;information skills;documenting and recording information;documenting technical designs, procedures, problems or activities;review construction projects|esco_dictionary|construction project management
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;oversee construction project===skills;information skills;monitoring, inspecting and testing;monitoring, inspecting and testing equipment, systems and products;monitor construction site===skills;management skills;organising, planning and scheduling work and activities;planning and scheduling events and activities;manage time===attitudes and values;attitudes;meet commitments;meet deadlines and follow schedules;meet deadlines===attitudes and values;attitudes;meet commitments;meet deadlines and follow schedules;comply with schedule===skills;information skills;documenting and recording information;documenting technical designs, procedures, problems or activities;review construction projects|esco_dictionary|ensure compliance with construction project deadline
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;oversee construction project===skills;information skills;monitoring, inspecting and testing;monitoring, inspecting and testing equipment, systems and products;monitor construction site===skills;management skills;organising, planning and scheduling work and activities;planning and scheduling events and activities;manage time===attitudes and values;attitudes;meet commitments;meet deadlines and follow schedules;meet deadlines===attitudes and values;attitudes;meet commitments;meet deadlines and follow schedules;comply with schedule===skills;information skills;documenting and recording information;documenting technical designs, procedures, problems or activities;review construction projects|esco_dictionary|project management in construction
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;direct fundraising activities===skills;management skills;allocating and controlling resources;managing budgets or finances;manage sport facility finances|esco_dictionary|put in an application for external funding for physical activity
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;direct fundraising activities===skills;management skills;allocating and controlling resources;managing budgets or finances;manage sport facility finances|esco_dictionary|petition for external funding for physical activity
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;direct fundraising activities===skills;management skills;allocating and controlling resources;managing budgets or finances;manage sport facility finances|esco_dictionary|appeal for external funding for physical activity
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;direct fundraising activities===skills;management skills;allocating and controlling resources;managing budgets or finances;manage sport facility finances|esco_dictionary|applying for external funding for physical activity
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;direct fundraising activities===skills;management skills;allocating and controlling resources;managing budgets or finances;manage sport facility finances|esco_dictionary|apply for external funding for physical activity
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;direct fundraising activities===skills;management skills;allocating and controlling resources;managing budgets or finances;manage sport facility finances|esco_dictionary|apply for external funding for physical activities
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;direct fundraising activities===skills;management skills;allocating and controlling resources;managing budgets or finances;manage sport facility finances|esco_dictionary|apply for funding for physical activity
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;coordinate oil well operations===skills;assisting and caring;protecting and enforcing;complying with health and safety procedures;monitor well safety|esco_dictionary|well maintenance suggestion
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;coordinate oil well operations===skills;assisting and caring;protecting and enforcing;complying with health and safety procedures;monitor well safety|esco_dictionary|suggest maintenance of well
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;coordinate oil well operations===skills;assisting and caring;protecting and enforcing;complying with health and safety procedures;monitor well safety|esco_dictionary|suggest well maintenance
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;coordinate oil well operations===skills;assisting and caring;protecting and enforcing;complying with health and safety procedures;monitor well safety|esco_dictionary|suggesting maintenance of well
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;coordinate oil well operations===skills;assisting and caring;protecting and enforcing;complying with health and safety procedures;monitor well safety|esco_dictionary|ensuring well maintenance
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;coordinate oil well operations===skills;assisting and caring;protecting and enforcing;complying with health and safety procedures;monitor well safety|esco_dictionary|suggestion of well maintenance
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;coordinate oil well operations===skills;assisting and caring;protecting and enforcing;complying with health and safety procedures;monitor well safety|esco_dictionary|ensuring maintenance of well
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;coordinate oil well operations===skills;assisting and caring;protecting and enforcing;complying with health and safety procedures;monitor well safety|esco_dictionary|suggesting well maintenance
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;coordinate oil well operations===skills;assisting and caring;protecting and enforcing;complying with health and safety procedures;monitor well safety|esco_dictionary|ensure well maintenance
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;plan daily ship operations===skills;information skills;analysing and evaluating information and data;analysing business operations;analyse ship operations/analyze  ship operations===skills;working with machinery and specialised equipment;using precision instrumentation and equipment;operating communications equipment;carry out ship-to-shore operations|esco_dictionary|utilise vessel operational data to inform actions
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;plan daily ship operations===skills;information skills;analysing and evaluating information and data;analysing business operations;analyse ship operations/analyze  ship operations===skills;working with machinery and specialised equipment;using precision instrumentation and equipment;operating communications equipment;carry out ship-to-shore operations|esco_dictionary|analyse vessel operational data
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;plan daily ship operations===skills;information skills;analysing and evaluating information and data;analysing business operations;analyse ship operations/analyze  ship operations===skills;working with machinery and specialised equipment;using precision instrumentation and equipment;operating communications equipment;carry out ship-to-shore operations|esco_dictionary|analyse ship operational data
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;plan daily ship operations===skills;information skills;analysing and evaluating information and data;analysing business operations;analyse ship operations/analyze  ship operations===skills;working with machinery and specialised equipment;using precision instrumentation and equipment;operating communications equipment;carry out ship-to-shore operations|esco_dictionary|make interpretations of vessel operational data
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;plan daily ship operations===skills;information skills;analysing and evaluating information and data;analysing business operations;analyse ship operations/analyze  ship operations===skills;working with machinery and specialised equipment;using precision instrumentation and equipment;operating communications equipment;carry out ship-to-shore operations|esco_dictionary|read vessel operational data
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;plan daily ship operations===skills;information skills;analysing and evaluating information and data;analysing business operations;analyse ship operations/analyze  ship operations===skills;working with machinery and specialised equipment;using precision instrumentation and equipment;operating communications equipment;carry out ship-to-shore operations|esco_dictionary|interpret ship operational data
skills;management skills;organising, planning and scheduling work and activities;directing operational activities;plan daily ship operations===skills;information skills;analysing and evaluating information and data;analysing business operations;analyse ship operations/analyze  ship operations===skills;working with machinery and specialised equipment;using precision instrumentation and equipment;operating communications equipment;carry out ship-to-shore operations|esco_dictionary|use vessel operational data to identify and prevent potential problems
